population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,6,China,1,Male,1,<5 years,558,Mental disorders,2,Percent,2021,0.0359503222605345,0.0501104429326908,0.0259651571506528
1,All Population,5,Prevalence,6,China,2,Female,1,<5 years,558,Mental disorders,2,Percent,2021,0.0205417175152122,0.0300578857795152,0.01472631129461
1,All Population,5,Prevalence,6,China,1,Male,6,5-9 years,558,Mental disorders,2,Percent,2021,0.1466767736079046,0.1944489749858471,0.1097687757550471
1,All Population,5,Prevalence,6,China,2,Female,6,5-9 years,558,Mental disorders,2,Percent,2021,0.0958894853546664,0.1458742475909208,0.0674046054937712
1,All Population,5,Prevalence,6,China,1,Male,7,10-14 years,558,Mental disorders,2,Percent,2021,0.2277815402954941,0.3176115165519793,0.1787960367260426
1,All Population,5,Prevalence,6,China,2,Female,7,10-14 years,558,Mental disorders,2,Percent,2021,0.1751802324666322,0.2764021603392637,0.1232495050709599
1,All Population,5,Prevalence,6,China,1,Male,8,15-19 years,558,Mental disorders,2,Percent,2021,0.1753204314832273,0.2057739072860521,0.1482519797573941
1,All Population,5,Prevalence,6,China,2,Female,8,15-19 years,558,Mental disorders,2,Percent,2021,0.1417520522667697,0.1748998313346242,0.120468250514443
1,All Population,5,Prevalence,6,China,1,Male,9,20-24 years,558,Mental disorders,2,Percent,2021,0.1314482459563317,0.1497242644489629,0.112960010496824
1,All Population,5,Prevalence,6,China,2,Female,9,20-24 years,558,Mental disorders,2,Percent,2021,0.1215175848519524,0.1401534674262592,0.1052420893438243
1,All Population,5,Prevalence,6,China,1,Male,10,25-29 years,558,Mental disorders,2,Percent,2021,0.1239555387041996,0.140251687571742,0.1085992180414966
1,All Population,5,Prevalence,6,China,2,Female,10,25-29 years,558,Mental disorders,2,Percent,2021,0.1231971242344518,0.1422372837433167,0.1076084016693134
1,All Population,5,Prevalence,6,China,1,Male,11,30-34 years,558,Mental disorders,2,Percent,2021,0.1234691757189462,0.1368858936860519,0.1097074230687668
1,All Population,5,Prevalence,6,China,2,Female,11,30-34 years,558,Mental disorders,2,Percent,2021,0.1274243160251356,0.1478011556869626,0.1115125604912983
1,All Population,5,Prevalence,6,China,1,Male,12,35-39 years,558,Mental disorders,2,Percent,2021,0.1241319950301486,0.1376126607748174,0.1106766470524617
1,All Population,5,Prevalence,6,China,2,Female,12,35-39 years,558,Mental disorders,2,Percent,2021,0.1325073966039195,0.1479220281417766,0.1165705629803675
1,All Population,5,Prevalence,6,China,1,Male,13,40-44 years,558,Mental disorders,2,Percent,2021,0.1247445972141135,0.1389547802786102,0.1114769711378482
1,All Population,5,Prevalence,6,China,2,Female,13,40-44 years,558,Mental disorders,2,Percent,2021,0.1374701040971506,0.1551275555095898,0.1229077302930437
1,All Population,5,Prevalence,6,China,1,Male,14,45-49 years,558,Mental disorders,2,Percent,2021,0.1252176618164842,0.1393882471809465,0.1125948129097304
1,All Population,5,Prevalence,6,China,2,Female,14,45-49 years,558,Mental disorders,2,Percent,2021,0.1423901889616927,0.1596742860530146,0.1259522679508514
1,All Population,5,Prevalence,6,China,1,Male,15,50-54 years,558,Mental disorders,2,Percent,2021,0.1257490417624222,0.1408744391318922,0.112719607077309
1,All Population,5,Prevalence,6,China,2,Female,15,50-54 years,558,Mental disorders,2,Percent,2021,0.1473510849081802,0.1696557611444992,0.1303804806023281
1,All Population,5,Prevalence,6,China,1,Male,16,55-59 years,558,Mental disorders,2,Percent,2021,0.1253935989524212,0.1399067904041014,0.1126290774802004
1,All Population,5,Prevalence,6,China,2,Female,16,55-59 years,558,Mental disorders,2,Percent,2021,0.1496498282266158,0.170416295033934,0.1309836616108749
1,All Population,5,Prevalence,6,China,1,Male,17,60-64 years,558,Mental disorders,2,Percent,2021,0.1249940637619567,0.1404559983334639,0.1117329475207868
1,All Population,5,Prevalence,6,China,2,Female,17,60-64 years,558,Mental disorders,2,Percent,2021,0.1504758598676193,0.1714597710375873,0.1325481821401865
1,All Population,5,Prevalence,6,China,1,Male,18,65-69 years,558,Mental disorders,2,Percent,2021,0.1241578960413399,0.1380074819344746,0.112161248356749
1,All Population,5,Prevalence,6,China,2,Female,18,65-69 years,558,Mental disorders,2,Percent,2021,0.14960365800687,0.16741987170362,0.1334909033477589
1,All Population,5,Prevalence,6,China,1,Male,19,70-74 years,558,Mental disorders,2,Percent,2021,0.1228387062308716,0.1377367302267475,0.109318304346584
1,All Population,5,Prevalence,6,China,2,Female,19,70-74 years,558,Mental disorders,2,Percent,2021,0.1479557259415258,0.1668525771251158,0.1299289375596851
1,All Population,5,Prevalence,6,China,1,Male,20,75-79 years,558,Mental disorders,2,Percent,2021,0.1208087938173239,0.1373226946567803,0.1079841894546918
1,All Population,5,Prevalence,6,China,2,Female,20,75-79 years,558,Mental disorders,2,Percent,2021,0.1457322593862108,0.1668243499630967,0.1296652406461157
1,All Population,5,Prevalence,6,China,1,Male,30,80-84 years,558,Mental disorders,2,Percent,2021,0.1188702387518546,0.1372439225111006,0.1051421560609996
1,All Population,5,Prevalence,6,China,2,Female,30,80-84 years,558,Mental disorders,2,Percent,2021,0.1435070650756922,0.1687445659481076,0.1255530746138461
1,All Population,5,Prevalence,6,China,1,Male,31,85-89 years,558,Mental disorders,2,Percent,2021,0.1182919551774229,0.1367033369771254,0.1045320213825273
1,All Population,5,Prevalence,6,China,2,Female,31,85-89 years,558,Mental disorders,2,Percent,2021,0.1423323866693734,0.1676720605576737,0.126302873090372
1,All Population,5,Prevalence,6,China,1,Male,32,90-94 years,558,Mental disorders,2,Percent,2021,0.1188924026628305,0.1375793370407565,0.1042854343955348
